,City,Longitude,Latitude,DeltaSeconds
北京市,平谷,117.1,40.13,-696
,密云,116.85,40.37,-756
,通县,116.67,39.92,-799
,顺义,116.65,40.13,-804
,怀柔,116.62,40.32,-811
,北京,116.46,39.92,-850
,大兴,116.33,39.73,-881
,昌平,116.2,40.22,-912
,房山,115.98,39.72,-965
,延庆,115.97,40.47,-967
天津市,宁河,117.83,39.33,-521
,蓟县,117.4,40.05,-624
,宝坻,117.3,39.75,-648
,天津,117.2,39.13,-672
,武清,117.05,39.4,-708
,静海,116.92,38.93,-739
上海市,南汇,121.76,31.05,422
,川沙,121.7,31.19,408
,宝山,121.48,31.41,355
,上海,121.48,31.22,355
,奉贤,121.46,30.92,350
,崇明,121.4,31.73,336
,松江,121.24,31,298
,嘉定,121.24,31.4,298
,金山,121.16,30.89,278
,青浦,121.1,31.15,264
重庆市,巫山,109.86,31.1,-2434
,巫溪,109.6,31.42,-2496
,奉节,109.52,31.06,-2515
,秀山,108.97,28.47,-2647
,云阳,108.89,30.99,-2666
,黔江,108.81,29.53,-2686
,西阳,108.75,28.85,-2700
,武隆,108.72,29.29,-2707
,城口,108.67,31.98,-2719
,开县,108.39,31.23,-2786
,万州,108.35,30.83,-2796
,彭水,108.19,29.29,-2834
,石柱,108.13,29.98,-2849
,忠县,108.03,30.33,-2873
,梁平,107.78,30.66,-2933
,丰都,107.7,29.89,-2952
,涪陵,107.36,29.7,-3034
,垫江,107.34,30.36,-3038
,南川,107.13,29.15,-3089
,南桐,107.04,29.86,-3110
,长寿,106.64,29.01,-3206
,綦江,106.56,29.41,-3226
,重庆,106.54,29.59,-3230
,合川,106.28,29.97,-3293
,潼南,106.22,30.03,-3307
,荣昌,106.21,29.62,-3310
,壁山,106.03,29.86,-3353
,万盛,105.91,29.38,-3382
,铜梁,105.8,30.16,-3408
,永川,105.71,29.75,-3430
,大足,105.59,29.4,-3458
河北省,秦皇岛,119.57,39.95,-103
,抚宁,119.22,39.88,-187
,昌黎,119.15,39.72,-204
,青龙,118.93,40.43,-257
,乐亭,118.9,39.43,-264
,卢龙,118.85,39.89,-276
,滦县,118.73,39.74,-305
,迁安,118.69,40.02,-314
,平泉,118.68,41.02,-317
,滦南,118.67,39.49,-319
,唐海,118.54,39.31,-350
,宽城,118.47,40.62,-367
,迁西,118.3,40.15,-408
,丰润,118.13,39.82,-449
,丰南,118.1,39.58,-456
,唐山,118.02,39.63,-475
,遵化,117.97,40.2,-487
,承德,117.93,40.97,-497
,玉田,117.9,39.9,-504
,海兴,117.85,38.17,-516
,围场,117.72,41.95,-547
,隆化,117.7,41.32,-552
,滦平,117.53,40.95,-593
,兴隆,117.48,40.42,-605
,黄骅,117.33,38.4,-641
,盐山,117.22,38.07,-667
,孟村,117.1,38.06,-696
,三河,117.06,39.97,-706
,香河,117,39.76,-720
,大厂,116.98,39.98,-725
,沧州,116.83,38.33,-761
,青县,116.8,38.58,-768
,廊坊,116.7,39.53,-792
,南皮,116.7,38.05,-792
,安次,116.69,39.52,-794
,丰宁,116.63,41.2,-809
,大城,116.63,38.7,-809
,泊头,116.56,38.08,-826
,东光,116.52,37.89,-835
,永清,116.48,39.32,-845
,文安,116.45,38.87,-852
,霸县,116.38,39.12,-869
,吴桥,116.37,37.65,-871
,固安,116.29,39.44,-890
,交河,116.27,38.02,-895
,景县,116.26,37.69,-898
,阜城,116.14,37.87,-926
,献县,116.12,38.2,-931
,雄县,116.1,38.98,-936
,任丘,116.08,38.72,-941
,河间,116.07,38.45,-943
,涿县,115.98,39.48,-965
,故城,115.96,37.36,-970
,武强,115.96,38.03,-970
,安新,115.92,38.92,-979
,武邑,115.9,37.81,-984
,容城,115.86,39.06,-994
,新城,115.84,39.34,-998
,肃宁,115.82,38.43,-1003
,赤城,115.82,40.92,-1003
,高阳,115.78,38.68,-1013
,定兴,115.78,39.28,-1013
,饶阳,115.74,38.24,-1022
,枣强,115.72,37.52,-1027
,衡水,115.72,37.72,-1027
,涞水,115.71,39.39,-1030
,沽源,115.68,41.68,-1037
,清河,115.67,37.07,-1039
,徐水,115.65,39.02,-1044
,蠡县,115.58,38.49,-1061
,冀县,115.56,37.59,-1066
,深县,115.56,38.02,-1066
,怀来,115.54,40.4,-1070
,临西,115.5,36.87,-1080
,安平,115.5,38.22,-1080
,易县,115.49,39.35,-1082
,保定,115.48,38.85,-1085
,清苑,115.47,38.76,-1087
,博野,115.46,38.46,-1090
,满城,115.45,38.95,-1092
,馆陶,115.4,36.47,-1104
,南官,115.37,37.37,-1111
,安国,115.3,38.41,-1128
,崇礼,115.25,40.98,-1140
,新河,115.22,37.53,-1147
,深泽,115.2,38.2,-1152
,涿鹿,115.2,40.37,-1152
,丘县,115.18,36.84,-1157
,束鹿,115.18,37.94,-1157
,望都,115.14,38.71,-1166
,广宗,115.14,37.06,-1166
,大名,115.14,36.28,-1166
,完县,115.12,38.84,-1171
,威县,115.08,36.97,-1181
,晋县,115.03,38.03,-1193
,巨鹿,115.03,37.22,-1193
,宣化,115.03,40.63,-1193
,平乡,115.02,37.06,-1195
,唐县,114.97,38.75,-1207
,无极,114.96,38.16,-1210
,魏县,114.94,36.37,-1214
,广平,114.94,36.49,-1214
,曲周,114.92,36.78,-1219
,宁普,114.9,37.62,-1224
,张家口,114.87,40.82,-1231
,藁城,114.84,38.03,-1238
,肥乡,114.8,36.56,-1248
,赵县,114.78,37.76,-1253
,隆尧,114.75,37.35,-1260
,万全,114.73,40.84,-1265
,南和,114.71,37,-1270
,张北,114.7,41.15,-1272
,曲阳,114.68,38.62,-1277
,成安,114.68,36.43,-1277
,任县,114.68,37.11,-1277
,柏乡,114.68,37.49,-1277
,涞源,114.67,39.37,-1279
,新乐,114.67,38.33,-1279
,栾城,114.64,38.87,-1286
,临漳,114.62,36.35,-1291
,康保,114.6,41.87,-1296
,高邑,114.58,37.62,-1301
,正定,114.56,38.13,-1306
,行唐,114.54,38.42,-1310
,蔚县,114.53,39.83,-1313
,沙河,114.52,36.94,-1315
,元氏,114.5,37.74,-1320
,临城,114.5,37.43,-1320
,内丘,114.5,37.28,-1320
,永年,114.5,36.77,-1320
,石家庄,114.48,38.03,-1325
,邢台,114.48,37.05,-1325
,邯郸,114.47,36.6,-1327
,怀安,114.38,40.67,-1349
,灵寿,114.38,38.31,-1349
,磁县,114.37,36.37,-1351
,赞皇,114.35,37.65,-1356
,平山,114.24,38.2,-1382
,武安,114.2,36.7,-1392
,阜平,114.18,38.85,-1397
,阳原,114.15,40.12,-1404
,井陉,114.13,38.03,-1409
,获鹿,114.03,38.08,-1433
,定县,114.02,38.52,-1435
,尚义,113.95,41.05,-1452
,鸡泽,113.85,36.95,-1476
,涉县,113.67,36.57,-1519
山东省,荣成,122.41,37.16,578
,威海,122.1,37.5,504
,文登,122.05,37.2,492
,牟平,121.59,37.38,382
,乳山,121.52,36.89,365
,烟台,121.39,37.52,334
,福山,121.27,37.49,305
,海阳,121.17,36.76,281
,栖霞,120.83,37.28,199
,蓬莱,120.75,37.8,180
,长岛,120.73,37.91,175
,莱阳,120.71,36.97,170
,莱西,120.53,36.86,127
,黄县,120.51,37.64,122
,即墨,120.45,36.38,108
,崂山,120.42,36.15,101
,招远,120.38,37.35,91
,青岛,120.33,36.07,79
,胶县,120,36.28,0
,平度,119.97,36.77,-7
,胶南,119.97,35.88,-7
,掖县,119.93,37.18,-17
,高密,119.75,36.38,-60
,日照,119.46,35.42,-130
,诸城,119.42,35.99,-139
,昌邑,119.41,36.86,-142
,潍县,119.22,36.77,-187
,五莲,119.2,35.74,-192
,安丘,119.2,36.42,-192
,潍坊,119.1,36.62,-216
,昌乐,118.83,36.69,-281
,莒南,118.83,35.17,-281
,营县,118.83,35.57,-281
,临沭,118.73,34.89,-305
,寿光,118.73,36.86,-305
,沂水,118.64,35.78,-326
,垦利,118.54,37.59,-350
,临朐,118.53,36.5,-353
,东营,118.49,37.46,-362
,沂南,118.47,35.54,-367
,高都,118.47,36.69,-367
,广饶,118.41,37.04,-382
,青州,118.4,36.4,-384
,临沂,118.35,35.05,-396
,郯城,118.35,34.61,-396
,利津,118.25,37.49,-420
,沂源,118.17,36.18,-439
,沾化,118.14,37.7,-446
,桓台,118.12,36.95,-451
,博兴,118.12,37.12,-451
,淄博,118.05,36.78,-468
,滨州,118.03,37.36,-473
,仓山,118.03,34.84,-473
,滨县,117.97,37.47,-487
,费县,117.97,35.26,-487
,蒙阴,117.95,35.7,-492
,新泰,117.76,35.91,-538
,邹平,117.75,36.89,-540
,新汶,117.67,35.86,-559
,莱芜,117.67,36.19,-559
,高青,117.66,37.18,-562
,平邑,117.63,35.49,-569
,阳信,117.58,37.65,-581
,无棣,117.58,37.73,-581
,枣庄,117.57,34.86,-583
,章丘,117.53,36.72,-593
,庆云,117.37,37.37,-631
,惠民,117.31,37.49,-646
,泗水,117.27,35.65,-655
,乐陵,117.22,37.74,-667
,济阳,117.2,36.97,-672
,滕县,117.17,35.09,-679
,商河,117.15,37.31,-684
,泰安,117.13,36.18,-689
,微山,117.12,34.8,-691
,历城,117.07,36.69,-703
,济南,117,36.65,-720
,曲阜,116.98,35.59,-725
,邹县,116.97,35.39,-727
,临邑,116.86,37.2,-754
,兖州,116.83,35.54,-761
,宁津,116.8,37.64,-768
,宁阳,116.8,35.76,-768
,齐河,116.76,36.79,-778
,肥城,116.76,36.24,-778
,长清,116.73,36.55,-785
,禹城,116.66,36.95,-802
,鱼台,116.65,35,-804
,济宁,116.59,35.38,-818
,陵县,116.58,37.34,-821
,汶上,116.49,35.71,-842
,平阴,116.46,36.29,-850
,平原,116.44,37.16,-854
,嘉祥,116.34,35.41,-878
,金乡,116.32,35.07,-883
,东平,116.3,35.91,-888
,德州,116.29,37.45,-890
,茌平,116.27,36.58,-895
,高唐,116.23,36.86,-905
,东阿,116.23,36.32,-905
,梁山,116.1,35.8,-936
,巨野,116.08,35.38,-941
,武城,116.08,37.2,-941
,单县,116.07,34.82,-943
,夏津,116,36.95,-960
,聊城,115.97,36.45,-967
,郓城,115.94,35.59,-974
,成武,115.88,34.97,-989
,阳谷,115.78,36.11,-1013
,临清,115.72,36.68,-1027
,莘县,115.67,36.24,-1039
,定陶,115.57,35.07,-1063
,曹县,115.53,34.83,-1073
,鄄城,115.5,35.57,-1080
,冠县,115.45,35.47,-1092
,荷泽,115.43,35.24,-1097
,东明,115.08,35.31,-1181
浙江省,嵊四,122.45,30.72,588
,普陀,122.3,29.97,552
,岱山,122.2,30.26,528
,定海,122.11,30.03,506
,象山,121.8,29.48,432
,镇海,121.72,29.96,413
,宁波,121.56,29.86,374
,鄞县,121.56,29.86,374
,椒江,121.44,28.67,346
,宁海,121.42,29.3,341
,奉化,121.41,29.66,338
,三门,121.38,29.11,331
,温岭,121.36,28.36,326
,黄岩,121.27,28.64,305
,慈溪,121.23,30.18,295
,玉环,121.23,28.14,295
,余姚,121.16,30.04,278
,临海,121.13,28.8,271
,洞头,121.12,27.84,269
,天台,121.03,29.15,247
,平湖,121.02,30.7,245
,乐清,120.94,28.14,226
,海盐,120.92,30.53,221
,嘉善,120.92,30.84,221
,新昌,120.89,29.49,214
,上虞,120.87,30.03,209
,嵊县,120.81,29.6,194
,嘉兴,120.76,30.77,182
,仙居,120.73,28.85,175
,海宁,120.69,30.53,166
,永喜,120.68,28.16,163
,瓯海,120.65,28.01,156
,温州,120.65,28.01,156
,瑞安,120.62,27.8,149
,缙云,120.6,28.66,144
,绍兴,120.58,30.01,139
,平阳,120.55,27.68,132
,桐乡,120.54,30.64,130
,苍南,120.36,27.53,86
,余杭,120.3,30.43,72
,青田,120.28,28.45,67
,萧山,120.25,30.16,60
,诸暨,120.23,29.71,55
,东阳,120.23,29.27,55
,杭州,120.19,30.26,46
,湖州,120.1,30.86,24
,文成,120.08,27.08,19
,德清,120.08,30.54,19
,义乌,120.06,29.32,14
,永康,120.02,28.92,5
,富阳,119.95,30.07,-12
,丽水,119.92,28.45,-19
,长兴,119.91,30.01,-22
,浦江,119.88,29.46,-29
,武义,119.81,28.9,-46
,临安,119.72,30.23,-67
,泰顺,119.7,27.57,-72
,安吉,119.68,30.68,-77
,桐庐,119.64,29.8,-86
,金华,119.64,29.12,-86
,云和,119.56,28.12,-106
,兰溪,119.48,29.19,-125
,松阳,119.48,28.46,-125
,建德,119.27,29.49,-175
,遂昌,119.25,28.59,-180
,龙泉,119.13,28.08,-209
,庆无,119.06,27.61,-226
,淳安,119.05,29.61,-228
,衢州,118.88,28.97,-269
,江山,118.61,28.74,-334
,常山,118.5,28.9,-360
,开化,118.39,29.15,-386
四川省,通江,108.24,31.95,-2822
,百沙,108.18,32,-2837
,万源,108.06,32.07,-2866
,开江,107.87,31.1,-2911
,宜汉,107.71,31.39,-2950
,达县,107.49,31.23,-3002
,大竹,107.21,30.75,-3070
,平昌,107.11,31.59,-3094
,渠县,106.94,30.85,-3134
,邻水,106.91,30.36,-3142
,南江,106.83,32.36,-3161
,华云,106.74,30.41,-3182
,巴中,106.73,31.86,-3185
,广安,106.61,30.48,-3214
,营山,106.57,31.07,-3223
,蓬安,106.44,31.04,-3254
,岳池,106.43,30.55,-3257
,仪陇,106.38,31.52,-3269
,旺苍,106.33,32.25,-3281
,武胜,106.3,30.38,-3288
,南充,106.06,30.8,-3346
,南部,106.03,31.34,-3353
,阆中,105.97,31.75,-3367
,苍溪,105.96,31.75,-3370
,光元,105.86,32.44,-3394
,西充,105.84,31.01,-3398
,古蔺,105.79,28.03,-3410
,合江,105.78,28.79,-3413
,蓬溪,105.74,30.78,-3422
,遂宁,105.58,30.52,-3461
,泸县,105.46,28.96,-3490
,剑阁,105.45,32.03,-3492
,叙水,105.44,28.19,-3494
,泸州,105.39,28.91,-3506
,纳溪,105.38,28.77,-3509
,盐亭,105.35,31.23,-3516
,射洪,105.31,30.9,-3526
,安岳,105.3,30.12,-3528
,隆昌,105.25,29.64,-3540
,青川,105.21,32.59,-3550
,梓潼,105.16,31.64,-3562
,三台,105.06,31.1,-3586
,兴文,105.06,28.36,-3586
,江安,105.06,28.71,-3586
,内江,105.04,29.59,-3590
,乐至,105.02,30.3,-3595
,富顺,104.97,29.24,-3607
,南溪,104.96,28.87,-3610
,双流,104.94,30.57,-3614
,长宁,104.91,28.6,-3622
,资中,104.85,29.81,-3636
,琪县,104.81,28.38,-3646
,绵阳,104.73,31.48,-3665
,威远,104.7,29.57,-3672
,江油,104.7,31.8,-3672
,中江,104.68,31.06,-3677
,资阳,104.6,30.19,-3696
,宜宾,104.56,29.77,-3706
,简阳,104.53,30.38,-3713
,筠连,104.53,28.16,-3713
,高县,104.52,28.4,-3715
,平武,104.52,32.42,-3715
,北川,104.44,31.89,-3734
,安县,104.41,31.64,-3742
,德阳,104.37,31.13,-3751
,金堂,104.32,30.88,-3763
,广汉,104.25,30.99,-3780
,南坪,104.19,33.23,-3794
,绵竹,104.19,31.32,-3794
,什邡,104.16,31.13,-3802
,屏由,104.15,28.68,-3804
,新都,104.13,30.82,-3809
,仁寿,104.09,30,-3818
,井研,104.06,29.67,-3826
,成都,104.06,30.67,-3826
,沐川,103.98,28.96,-3845
,彭县,103.94,30.99,-3854
,犍为,103.93,29.21,-3857
,茂汶,103.89,31.67,-3866
,郫县,103.86,30.8,-3874
,彭由,103.83,30.22,-3881
,青神,103.81,29.86,-3886
,眉由,103.81,30.05,-3886
,温江,103.81,30.97,-3886
,新津,103.78,30.42,-3893
,乐由,103.73,29.59,-3905
,崇庆,103.69,30.63,-3914
,雷波,103.62,28.21,-3931
,汶川,103.61,31.46,-3934
,松潘,103.61,32.64,-3934
,灌县,103.61,31.04,-3934
,夹江,103.59,29.75,-3938
,大邑,103.53,30.58,-3953
,丹棱,103.53,30.04,-3953
,马边,103.53,28.87,-3953
,娥眉,103.5,29.62,-3960
,邛崃,103.47,30.42,-3967
,洪雅,103.38,29.95,-3989
,蒲江,103.29,30.2,-4010
,峨边,103.25,29.23,-4020
,金阳,103.22,27.73,-4027
,理县,103.16,31.42,-4042
,美姑,103.14,28.33,-4046
,金口,103.13,29.24,-4049
,名山,103.06,30.09,-4066
,雅安,102.97,29.97,-4087
,黑水,102.95,32.06,-4092
,若尔盖,102.94,33.62,-4094
,芦山,102.91,30.17,-4102
,宝兴,102.84,30.36,-4118
,昭觉,102.83,28.03,-4121
,荣经,102.81,29.79,-4126
,布拖,102.8,27.7,-4128
,天全,102.78,30.09,-4133
,宁南,102.76,27.07,-4138
,甘洛,102.74,28.96,-4142
,汉源,102.66,29.4,-4162
,红原,102.55,31.79,-4188
,会东,102.55,26.74,-4188
,普格,102.52,27.38,-4195
,越西,102.49,28.66,-4202
,喜德,102.42,28.33,-4219
,石棉,102.38,29.21,-4229
,小金,102.34,30.97,-4238
,西昌,102.29,27.92,-4250
,泸定,102.25,29.92,-4260
,马尔康,102.22,31.92,-4267
,会理,102.21,26.67,-4270
,冕宁,102.15,28.58,-4284
,来易,102.15,26.9,-4284
,德昌,102.15,27.4,-4284
,金川,102.03,31.48,-4313
,康定,101.95,30.04,-4332
,丹巴,101.87,30.85,-4351
,阿坝,101.72,31.93,-4387
,盐边,101.56,26.9,-4426
,九龙,101.53,29.01,-4433
,盐源,101.51,27.42,-4438
,木里,101.25,27.9,-4500
,道孚,101.14,30.99,-4526
,雅江,101,30.03,-4560
,壤塘,100.97,32.3,-4567
,炉霍,100.65,31.38,-4644
,色达,100.35,32.3,-4716
,稻城,100.31,29.04,-4726
,新龙,100.28,30.96,-4733
,理塘,100.28,30.03,-4733
,甘孜,99.96,31.64,-4810
,乡城,99.78,28.93,-4853
,得荣,99.25,28.71,-4980
,巴塘,99,30,-5040
,白玉,98.83,32.23,-5081
,德格,98.57,31.81,-5143
,石渠,98.06,33.01,-5266
河南省,永城,116.37,33.94,-871
,夏邑,116.13,34.22,-929
,虞城,115.87,34.4,-991
,台前,115.83,36,-1001
,固始,115.68,32.17,-1037
,商丘,115.65,34.44,-1044
,鹿邑,115.48,33.86,-1085
,范县,115.46,35.9,-1090
,商城,115.42,31.81,-1099
,淮滨,115.41,32.44,-1102
,宁陵,115.31,34.44,-1126
,柘城,115.29,34.08,-1130
,南乐,115.21,36.08,-1150
,郸城,115.17,33.63,-1159
,民权,115.13,34.65,-1169
,清丰,115.1,35.89,-1176
,沈丘,115.06,33.41,-1186
,睢县,115.04,34.46,-1190
,潢川,115.04,32.13,-1190
,濮阳,114.98,35.71,-1205
,新蔡,114.97,32.75,-1207
,光山,114.91,32.02,-1222
,项城,114.9,33.44,-1224
,淮阳,114.88,33.74,-1229
,内黄,114.88,35.95,-1229
,太康,114.85,34.06,-1236
,新县,114.83,31.62,-1241
,兰考,114.81,34.69,-1246
,杞县,114.77,34.56,-1255
,息县,114.72,32.35,-1267
,长垣,114.67,35.19,-1279
,周口,114.63,33.63,-1289
,平舆,114.62,32.97,-1291
,商水,114.59,33.54,-1298
,浚县,114.54,35.67,-1310
,罗山,114.53,32.21,-1313
,滑县,114.52,35.57,-1315
,西华,114.5,33.79,-1320
,通许,114.46,34.48,-1330
,扶沟,114.38,34.05,-1349
,正阳,114.38,32.62,-1349
,安阳,114.35,36.1,-1356
,开封,114.35,34.79,-1356
,汝南,114.35,33,-1356
,汤阴,114.35,35.92,-1356
,上蔡,114.26,33.25,-1378
,延津,114.19,35.14,-1394
,尉氏,114.17,34.41,-1399
,鄢县,114.17,34.11,-1399
,淇县,114.17,35.6,-1399
,鹤壁,114.17,35.9,-1399
,信阳,114.08,32.13,-1421
,汲县,114.05,35.44,-1428
,封丘,114.04,35.03,-1430
,驻马店,114.02,32.98,-1435
,确山,114.02,32.83,-1435
,漯河,114.02,33.56,-1435
,西平,114,33.38,-1440
,中牟,114,34.73,-1440
,郾城,113.98,33.6,-1445
,遂平,113.98,33.15,-1445
,原阳,113.96,35.05,-1450
,临颖,113.94,33.81,-1454
,新乡,113.85,35.31,-1476
,林县,113.81,36.06,-1486
,许昌,113.81,34.02,-1486
,长葛,113.77,34.22,-1495
,辉县,113.77,35.46,-1495
,新郑,113.71,34.4,-1510
,郑州,113.65,34.76,-1524
,获嘉,113.63,35.27,-1529
,舞阳,113.58,33.44,-1541
,禹县,113.47,34.16,-1567
,襄城,113.46,33.86,-1570
,修武,113.42,35.24,-1579
,桐柏,113.4,32.37,-1584
,武陟,113.38,35.1,-1589
,密县,113.35,34.51,-1596
,荥阳,113.35,34.79,-1596
,叶县,113.35,33.62,-1596
,泌阳,113.31,32.72,-1606
,平顶山,113.29,33.75,-1610
,焦作,113.21,35.24,-1630
,郏县,113.19,33.98,-1634
,温贺,113.06,34.94,-1666
,博爱,113.05,35.16,-1668
,宝丰,113.04,33.86,-1670
,登封,113.02,34.46,-1675
,方城,112.98,33.25,-1685
,巩县,112.96,34.76,-1690
,社旗,112.92,33.05,-1699
,沁阳,112.92,35.08,-1699
,鲁山,112.88,33.74,-1709
,唐河,112.83,32.7,-1721
,临汝,112.83,34.17,-1721
,偃师,112.77,34.73,-1735
,孟县,112.77,34.92,-1735
,济源,112.57,35.08,-1783
,南阳,112.53,33.01,-1793
,汝阳,112.46,34.16,-1810
,洛阳,112.44,34.7,-1814
,伊川,112.42,34.43,-1819
,孟津,112.42,34.84,-1819
,南召,112.4,33.49,-1824
,新野,112.36,32.51,-1834
,镇平,112.23,33.03,-1865
,宜阳,112.15,34.51,-1884
,新安,112.14,34.75,-1886
,邓县,112.08,32.68,-1901
,嵩县,112.07,34.14,-1903
,义马,111.92,34.73,-1939
,内乡,111.83,33.05,-1961
,渑池,111.75,34.76,-1980
,洛宁,111.65,34.39,-2004
,栾川,111.6,33.81,-2016
,西峡,111.5,33.31,-2040
,淅川,111.47,33.14,-2047
,陕县,111.19,34.76,-2114
,三门峡,111.19,34.76,-2114
,卢氏,111.03,34.06,-2153
,灵宝,110.85,34.52,-2196
辽宁省,桓仁,125.33,41.28,1279
,新宾,125.02,41.72,1205
,清原,124.9,42.13,1176
,宽甸,124.77,40.75,1145
,西丰,124.7,42.77,1128
,丹东,124.37,40.13,1049
,东沟,124.13,39.97,991
,昌图,124.13,42.8,991
,凤城,124.05,40.47,972
,开原,124.03,42.53,967
,抚顺,123.97,41.97,953
,铁岭,123.85,42.32,924
,本溪,123.73,41.3,895
,铁法,123.5,42.48,840
,沈阳,123.38,41.8,811
,法库,123.37,42.52,809
,灯塔,123.34,41.43,802
,康平,123.33,42.75,799
,岫岩,123.25,40.3,780
,辽阳,123.17,41.28,761
,庄河,122.97,39.7,713
,鞍山,122.85,41.12,684
,新民,122.83,42,679
,海城,122.75,40.85,660
,辽中,122.7,41.52,648
,长海,122.58,39.28,619
,彰武,122.52,42.42,605
,台安,122.4,41.4,576
,盖县,122.37,40.42,569
,营口,122.18,40.65,523
,黑山,122.12,41.7,509
,大洼,122.06,41,494
,盘山,122.03,41.02,487
,复县,121.97,39.63,473
,新金,121.95,39.55,468
,北镇,121.8,41.6,432
,金县,121.7,39.13,408
,阜新,121.65,42,396
,大连,121.62,38.92,389
,锦县,121.35,41.17,324
,义县,121.22,41.55,293
,锦州,121.15,41.13,276
,锦西,120.83,40.77,199
,北票,120.75,41.82,180
,兴城,120.68,40.63,163
,朝阳,120.42,41.58,101
,绥中,120.32,40.35,77
,建昌,119.78,40.82,-53
,建平,119.63,41.38,-89
,凌源,119.37,41.27,-151
江苏省,启东,121.66,31.8,398
,如东,121.18,32.33,283
,海门,121.15,31.89,276
,太仓,121.1,31.45,264
,昆山,120.95,31.39,228
,南通,120.86,32.01,206
,常熟,120.74,31.64,178
,吴江,120.63,31.16,151
,吴县,120.62,31.32,149
,苏州,120.62,31.32,149
,如皋,120.56,32.39,134
,沙洲,120.55,31.86,132
,海安,120.45,32.57,108
,大丰,120.45,33.19,108
,东台,120.31,32.84,74
,无锡,120.29,31.59,70
,射阳,120.26,33.77,62
,江阴,120.26,31.91,62
,靖江,120.26,32.03,62
,泰县,120.15,32.51,36
,盐城,120.13,33.38,31
,泰兴,120.02,32.16,5
,武进,119.95,31.78,-12
,常州,119.95,31.79,-12
,泰州,119.9,32.49,-24
,滨海,119.84,34.01,-38
,宜兴,119.82,31.36,-43
,兴化,119.82,32.93,-43
,扬中,119.81,32.24,-46
,阜宁,119.79,33.78,-50
,建湖,119.77,33.46,-55
,响水,119.56,34.2,-106
,金坛,119.56,31.74,-106
,江都,119.55,32.43,-108
,丹阳,119.55,32,-108
,溧阳,119.48,31.43,-125
,高邮,119.45,32.78,-132
,镇江,119.44,32.2,-134
,丹徒,119.44,32.2,-134
,邗江,119.42,32.39,-139
,扬州,119.42,32.39,-139
,灌南,119.36,34.09,-154
,宝应,119.32,33.23,-163
,涟水,119.26,33.77,-178
,灌云,119.23,34.3,-185
,连云港,119.16,34.59,-202
,句容,119.16,31.95,-202
,仪征,119.16,32.27,-202
,淮安,119.15,33.5,-204
,赣榆,119.11,34.83,-214
,淮阴,119.02,33.62,-235
,金湖,119.02,33.01,-235
,清江,119.02,33.59,-235
,溧水,119.02,31.65,-235
,高淳,118.87,31.32,-271
,洪泽,118.85,33.28,-276
,江宁,118.83,31.95,-281
,六合,118.83,32.36,-281
,沭阳,118.79,34.12,-290
,南京,118.78,32.04,-293
,东海,118.75,34.54,-300
,泗阳,118.68,33.73,-317
,江浦,118.62,32.07,-331
,新沂,118.33,34.38,-401
,宿迁,118.3,33.96,-408
,泗洪,118.23,33.46,-425
,盱眙,118.05,33,-468
,邳县,117.97,34.3,-487
,睢宁,117.94,33.89,-494
,铜山,117.2,34.26,-672
,徐州,117.2,34.26,-672
,沛县,116.93,34.73,-737
,丰县,116.57,34.79,-823
港澳台,宜兰,121.75,24.75,420
,基隆,121.73,25.14,415
,台北,121.5,25.05,360
,桃园,121.3,25,312
,新竹,120.96,24.81,230
,台中,120.67,24.15,161
,高雄,120.37,22.64,89
,台南,120.19,22.98,46
,香港,114.1,22.2,-1416
