Month,Day,DeltaSeconds
1,1,-189
1,2,-218
1,3,-246
1,4,-273
1,5,-301
1,6,-327
1,7,-354
1,8,-380
1,9,-405
1,10,-430
1,11,-455
1,12,-479
1,13,-502
1,14,-525
1,15,-547
1,16,-568
1,17,-589
1,18,-609
1,19,-628
1,20,-647
1,21,-665
1,22,-682
1,23,-698
1,24,-714
1,25,-728
1,26,-742
1,27,-755
1,28,-779
1,29,-790
1,30,-799
1,31,-817
2,1,-824
2,2,-830
2,3,-836
2,4,-841
2,5,-845
2,6,-849
2,7,-851
2,8,-853
2,9,-854
2,10,-855
2,11,-854
2,12,-853
2,13,-851
2,14,-848
2,15,-845
2,16,-841
2,17,-836
2,18,-831
2,19,-824
2,20,-818
2,21,-810
2,22,-802
2,23,-793
2,24,-664
2,25,-774
2,26,-763
2,27,-752
2,28,-741
2,29,-728
3,1,-716
3,2,-703
3,3,-689
3,4,-675
3,5,-661
3,6,-647
3,7,-632
3,8,-616
3,9,-601
3,10,-585
3,11,-568
3,12,-552
3,13,-535
3,14,-518
3,15,-501
3,16,-484
3,17,-466
3,18,-449
3,19,-431
3,20,-413
3,21,-395
3,22,-377
3,23,-358
3,24,-340
3,25,-322
3,26,-304
3,27,-285
3,28,-267
3,29,-249
3,30,-231
3,31,-213
4,1,-196
4,2,-178
4,3,-161
4,4,-144
4,5,-127
4,6,-110
4,7,-93
4,8,-77
4,9,-61
4,10,46
4,11,30
4,12,16
4,13,1
4,14,13
4,15,27
4,16,41
4,17,54
4,18,66
4,19,79
4,20,91
4,21,102
4,22,113
4,23,124
4,24,134
4,25,143
4,26,153
4,27,161
4,28,169
4,29,177
4,30,184
5,1,70
5,2,196
5,3,201
5,4,206
5,5,210
5,6,217
5,7,216
5,8,219
5,9,220
5,10,222
5,11,222
5,12,222
5,13,222
5,14,221
5,15,219
5,16,217
5,17,214
5,18,211
5,19,207
5,20,203
5,21,198
5,22,193
5,23,187
5,24,181
5,25,174
5,26,167
5,27,159
5,28,151
5,29,142
5,30,133
5,31,124
6,1,114
6,2,104
6,3,94
6,4,83
6,5,72
6,6,60
6,7,48
6,8,36
6,9,24
6,10,12
6,11,1
6,12,14
6,13,39
6,14,52
6,15,-65
6,16,-78
6,17,-91
6,18,-105
6,19,-117
6,20,-130
6,21,-143
6,22,-156
6,23,-168
6,24,-181
6,25,-193
6,26,-205
6,27,-217
6,28,-229
6,29,-240
6,30,-251
7,1,-262
7,2,-273
7,3,-283
7,4,-293
7,5,-302
7,6,-311
7,7,-320
7,8,-328
7,9,-336
7,10,-343
7,11,-350
7,12,-356
7,13,-362
7,14,-368
7,15,-372
7,16,-376
7,17,-380
7,18,-383
7,19,-385
7,20,-387
7,21,-389
7,22,-389
7,23,-389
7,24,-389
7,25,-388
7,26,-386
7,27,-384
7,28,-381
7,29,-377
7,30,-373
7,31,-368
8,1,-363
8,2,-357
8,3,-351
8,4,-344
8,5,-336
8,6,-328
8,7,-319
8,8,-310
8,9,-300
8,10,-290
8,11,-279
8,12,-267
8,13,-255
8,14,-242
8,15,-229
8,16,-216
8,17,-201
8,18,-187
8,19,-171
8,20,-156
8,21,-140
8,22,-123
8,23,-107
8,24,-89
8,25,-72
8,26,54
8,27,35
8,28,17
8,29,2
8,30,21
8,31,41
9,1,60
9,2,80
9,3,100
9,4,121
9,5,141
9,6,162
9,7,183
9,8,183
9,9,204
9,10,225
9,11,246
9,12,267
9,13,288
9,14,310
9,15,331
9,16,353
9,17,374
9,18,395
9,19,417
9,20,438
9,21,459
9,22,480
9,23,501
9,24,522
9,25,542
9,26,562
9,27,582
9,28,602
9,29,621
9,30,640
10,1,659
10,2,678
10,3,696
10,4,696
10,5,713
10,6,731
10,7,748
10,8,764
10,9,780
10,10,796
10,11,796
10,12,811
10,13,825
10,14,839
10,15,853
10,16,866
10,17,878
10,18,890
10,19,901
10,20,912
10,21,681
10,22,931
10,23,940
10,24,948
10,25,955
10,26,961
10,27,967
10,28,972
10,29,976
10,30,980
10,31,982
11,1,984
11,2,985
11,3,985
11,4,984
11,5,983
11,6,981
11,7,977
11,8,973
11,9,969
11,10,963
11,11,956
11,12,949
11,13,941
11,14,932
11,15,922
11,16,911
11,17,900
11,18,887
11,19,874
11,20,860
11,21,846
11,22,830
11,23,814
11,24,797
11,25,779
11,26,760
11,27,741
11,28,721
11,29,700
11,30,678
12,1,656
12,2,633
12,3,609
12,4,585
12,5,561
12,6,535
12,7,509
12,8,483
12,9,456
12,10,429
12,11,402
12,12,374
12,13,346
12,14,317
12,15,288
12,16,259
12,17,230
12,18,201
12,19,171
12,20,142
12,21,112
12,22,82
12,23,52
12,24,23
12,25,7
12,26,37
12,27,-66
12,28,-96
12,29,-125
12,30,-154
12,31,-183
